iteration	commit	M1_median_score	M2_count_ge50	status	lever
0	e27354e	NA	NA	stabilizing	3-lever-throughput-deploy
0-obs1	e27354e	101	950	observing-stabilization	3-lever-deploy (milspec 10349->8084, reprice-honesty)
1	afc2504	109	872	shipped-stabilizing	E1 trade_up_score column + default sort (incident: fn ownership, resolved)
2	3894d78	108	1550	shipped-stabilizing	E3 boundary-knapsack selector (additive; codex SHIP 3 rounds)
3	8745f0d	108	1550	KEEP-verified	D wire staircase: cycle4 fired 139 profitable (top $41.21) in 17s, no regression
3-obs1	8745f0d	109	1754	observing-stabilization	D/E3 <24h: healthy, 0 OOM, staircase cycle-8 refresh 124 profitable, M1/M2 up
4	6d0a048	140	692	shipped-stabilizing	E4 bounded 3-collection step (codex SHIP R2; baseline=pre-deploy Check147; post-restart 40/45 = benign active->partial churn, not E4)
4-obs1	6d0a048	40	43	KEEP-verified	E4: M2 692->43 is HONEST status correction (restart status-refresh flagged ~4600 milspec score>=50 contracts correctly partial; shared-input churn; inputs genuinely missing), NOT E4 regression (discovery-only, no status logic). cycle time normal, 3-col 1651->1653, no OOM.
4-obs2	6d0a048	127	1703	KEEP-confirmed	E4 recovery COMPLETE: M2 38(honest trough)->1703 (>pre-deploy 692) via milspec re-discovery+cluster rebound; closes the loop that the 692->38 dip was honest churn-correction not an E4 regression. E4 clean throughout (3-col producing, no balloon, no OOM, 0 nulls). Backlog: only E2 left.
4-obs3	6d0a048	131	2320	observing-stabilization	E4 ~23h (<24h window) + VPS healthy -> OBSERVE ONLY, E2 deferred to next fire. daemon ↺7/api ↺34 online, 0 OOM, cycling (cycle 41, 32.0min), 0 nulls, freshness 23.5%, M1/M2 healthy.
5	671c5a0	131	2515	KEEP-confirmed	provenance: discovered_via + E3 knapsack/E4 step3 telemetry (codex R1 BLOCK->R2 SHIP; baseline pre-deploy; api-restart migration gotcha found)
6	11c330e	29	0	KEEP-confirmed	reprice-cap 30k->60k + chunked fetch + cache/compute/write timing split (codex SHIP R1; fresh-regime baseline M1=29/M2=0/top=49; 2-week gap resume)
7	2a37202	38.5	14	KEEP-confirmed	E2 reverse output-targeting, value-first placement (codex R1 BLOCK->R2 SHIP; baseline M1=38.5/M2=14/tail=69-84-371/fresh=54.8%; first birth-measurable discovery lever via e2:* tags)
8	9399618	31	3	KEEP-confirmed	E4 cleanup: removed dead Step-3 (0/153+ prod runs; -442 lines incl. tests; codex SHIP R1 + 2 Low comment fixes; baseline mid-market-trough M1=31/M2=3)
H1	b01e6f3	9	0	hotfix-deployed	INCIDENT: DMarket retired /exchange/v1 API 07-16 18:27 (410) -> fetcher 100% fail 22h -> 24h purge drained 400k->4k dmarket listings -> board collapse (M1 47->9, M2->0) misread as market leg down until Check 46 feed audit. FIX: migrate to /marketplace-api/v2/offers + mapV2Offer (codex SHIP). Listings flowing again 16:16 UTC.
9	49d24f4	23.0	269	KEEP-confirmed	staircase cadence every-4->every-2 + first-post-restart-cycle fire (codex SHIP R1; measured pass cost 10-23s vs 1-3min estimate; baseline M1=23.0/ge10=269/staircase 194 active, captured at cadence PEAK; item (b) closed same day as already-done — adaptive weights verified working, static paths dead code)
10	2c6eeb0	48.0	43	KEEP-confirmed	E2 target cap 16->24 (cap-saturated 16/16 every run, ~1.4 evals/target; codex SHIP R1 with budget quantification; baseline M1=48.0/ge50=43/ge10=475/e2rows=6 inflated by legit D&N dislocation; first self-generated-backlog lever; It9 KEEP-confirmed same fire)
11	eafbd70	53.0	193	KEEP-confirmed	dead-code bundle: cooldownLoop (loops.ts, 216 lines) + phase5GenericCalc removed (-303 net; zero-importer verified 2x + codex both-sides grep; codex SHIP R1; baseline M1=53.0/ge50=193/ge10=2277/e2=10)
12	2637433	49.0	49	KEEP-confirmed	E2 target cap 24->32 (24/24 saturated all ~570 runs, flow accelerated under 24; codex SHIP R1 + ceiling criteria logged; baseline M1=49.0/ge50=49/ge10=1194/e2=13; It11 KEEP-confirmed same fire)
13-inv	2637433	58	537	investigation-GO	knife-tier E2 analog INVESTIGATION: GO verdict, ship next fire. 43 knife collections, structured pass 186.5s (>=budget top) deadline-starves a value-UNRANKED collection scan (high-value Butterfly/Talon/Skeleton collections starvable) — same thesis as gun E2. Blocker retired in spec: knife per-condition ranking signal reconstructed via condition-multipliers (finishes stored blended avgPrice). It12 KEEP-confirmed same fire.
13	f10bd79	51	105	deployed-verified	knife-tier E2 analog = value-first collection ordering (full reverse pass infeasible: knife per-condition prices need async lookupOutputPrice, would starve Step 1). orderKnifeCollectionsByValue + knifeCollectionValue (mirrors evaluator finish filter — codex R1 BLOCK->fix->SHIP); daemon-only ↺16; baseline M1=51/ge50=105/ge10=1871/knife_active=114679. It12 KEEP-confirmed prior fire.
13-obs	f10bd79	56	376	observe-only	It13 at 23.8h (<24h gate) -> OBSERVE ONLY per contract. Healthy: daemon ↺16/23h no crashes, cadence exact 41 cycles, value-first line every knife run (Glove/Hydra/Spectrum2 lead), cycle times 32.5-36.4min no regression, 0 knife errors. Board M1=56/ge50=376/max=133 (D&N verified-legit spike), knife_active 114679->119505, e2 13->28. Formal keep deferred to next fire.
13	f10bd79	51	199	KEEP-confirmed	knife-tier value-first collection ordering (orderKnifeCollectionsByValue + knifeCollectionValue). ~3 days/~120 cycles: value-first line every knife run (Glove/Hydra $8345, Spectrum2 $3289 lead), cycle times 31.9-36.4min unchanged, 0 knife errors, cadence exact. knife_active settled ~102-105k equilibrium vs 114679 baseline (~8% lower = intended deadline-bounded tradeoff, high-value collections evaluated first; dip to 95k was benign housekeeping purge, recovered). Board M1=51/ge50=199/max=55 (D&N regime).
